time	x1	x2	x3	v1	v2	a
88000	0.009303237961529974	-0.0036322156265689715	0.0	2.4419458704429144e-7	6.252481801570004e-7	4.20123265645207e-11
88100	0.009327657420234404	-0.0035696908085532716	0.0	2.3998262193015164e-7	6.268600975416672e-7	4.211965114139786e-11
88200	0.009351655682427419	-0.0035070047987991048	0.0	2.35760116224307e-7	6.284435976486246e-7	4.222505705844661e-11
88300	0.00937523169404985	-0.0034441604390342425	0.0	2.3152726221627544e-7	6.299986129052526e-7	4.2328540080315555e-11
88400	0.009398384420271478	-0.0033811605777437173	0.0	2.2728425261012453e-7	6.315250770473622e-7	4.243009606150924e-11
88500	0.00942111284553249	-0.003318008070038981	0.0	2.2303128051547658e-7	6.330229251214763e-7	4.252972094647946e-11
88600	0.009443415973584038	-0.0032547057775268334	0.0	2.187685394385054e-7	6.344920934870475e-7	4.2627410769711765e-11
88700	0.009465292827527888	-0.0031912565681781286	0.0	2.1449622327292464e-7	6.359325198186124e-7	4.2723161655807684e-11
88800	0.00948674244985518	-0.0031276633161962672	0.0	2.1021452629096842e-7	6.373441431078835e-7	4.281696981956223e-11
88900	0.009507763902484277	-0.0030639289018854787	0.0	2.0592364313436472e-7	6.387269036657784e-7	4.290883156603704e-11
89000	0.009528356266797714	-0.003000056211518901	0.0	2.0162376880530182e-7	6.400807431243854e-7	4.299874329062902e-11
89100	0.009548518643678245	-0.0029360481372064625	0.0	1.9731509865738839e-7	6.414056044388673e-7	4.308670147913436e-11
89200	0.009568250153543983	-0.0028719075767625756	0.0	1.9299782838660755e-7	6.427014318893018e-7	4.317270270780833e-11
89300	0.009587549936382644	-0.0028076374335736453	0.0	1.886721540222655e-7	6.4396817108246e-7	4.325674364342042e-11
89400	0.00960641715178487	-0.002743240616465399	0.0	1.8433827191793497e-7	6.452057689535209e-7	4.333882104330519e-11
89500	0.009624850978976664	-0.002678720039570047	0.0	1.799963787423941e-7	6.464141737677252e-7	4.341893175540864e-11
89600	0.009642850616850903	-0.002614078622193275	0.0	1.756466714705611e-7	6.475933351219649e-7	4.3497072718330205e-11
89700	0.00966041528399796	-0.0025493192886810786	0.0	1.7128934737442505e-7	6.487432039463119e-7	4.3573240961360366e-11
89800	0.009677544218735401	-0.0024844449682864473	0.0	1.6692460401397365e-7	6.498637325054832e-7	4.364743360451396e-11
89900	0.009694236679136799	-0.002419458595035899	0.0	1.6255263922811775e-7	6.50954874400244e-7	4.371964785855898e-11
90000	0.009710491943059611	-0.0023543631075958744	0.0	1.581736511256136e-7	6.520165845687495e-7	4.3789881025041285e-11
90100	0.009726309308172172	-0.0022891614491389995	0.0	1.5378783807598314e-7	6.530488192878232e-7	4.385813049630482e-11
90200	0.009741688091979771	-0.0022238565672102173	0.0	1.4939539870043239e-7	6.54051536174174e-7	4.3924393755507466e-11
90300	0.009756627631849814	-0.0021584514135928	0.0	1.4499653186276908e-7	6.550246941855514e-7	4.398866837663307e-11
90400	0.009771127285036091	-0.0020929489441742447	0.0	1.405914366603192e-7	6.559682536218382e-7	4.405095202449854e-11
90500	0.009785186428702124	-0.002027352118812061	0.0	1.3618031241484348e-7	6.568821761260816e-7	4.4111242454757247e-11
90600	0.009798804459943609	-0.001961663901199453	0.0	1.3176335866345369e-7	6.577664246854635e-7	4.4169537513897994e-11
90700	0.009811980795809954	-0.0018958872587309067	0.0	1.273407751495297e-7	6.586209636322072e-7	4.422583513923983e-11
90800	0.009824714873324907	-0.001830025162367686	0.0	1.2291276181363745e-7	6.594457586444253e-7	4.4280133358922515e-11
90900	0.00983700614950627	-0.0017640805865032434	0.0	1.1847951878444813e-7	6.602407767469031e-7	4.433243029189315e-11
91000	0.009848854101384715	-0.0016980565088285532	0.0	1.140412463696593e-7	6.610059863118237e-7	4.438272414788833e-11
91100	0.00986025822602168	-0.0016319559101973709	0.0	1.0959814504691806e-7	6.617413570594291e-7	4.443101322741238e-11
91200	0.009871218040526373	-0.001565781774491428	0.0	1.0515041545474693e-7	6.62446860058623e-7	4.447729592171139e-11
